Date,AAPL,AMZN,MSFT,SPY,TSLA
2015-01-02,24.261045455932617,15.425999641418457,39.93304443359375,171.56797790527344,14.620667457580566
2015-01-05,23.57757568359375,15.10949993133545,39.56584548950195,168.4695587158203,14.005999565124512
2015-01-06,23.579797744750977,14.76449966430664,38.98512268066406,166.88275146484375,14.085332870483398
2015-01-07,23.910432815551758,14.920999526977539,39.480430603027344,168.9623565673828,14.063332557678223
2015-01-08,24.829126358032227,15.02299976348877,40.64188003540039,171.96054077148438,14.041333198547363
2015-01-09,24.855764389038086,14.846500396728516,40.300289154052734,170.5825653076172,13.77733325958252
2015-01-12,24.24329376220703,14.570500373840332,39.79641342163086,169.24624633789062,13.480667114257812
2015-01-13,24.45854377746582,14.737000465393066,39.591461181640625,168.7702178955078,13.616666793823242
2015-01-14,24.3653507232666,14.66349983215332,39.24985122680664,167.75137329101562,12.845999717712402
2015-01-15,23.704063415527344,14.34749984741211,38.839942932128906,166.21463012695312,12.791333198547363
2015-01-16,23.51987648010254,14.536999702453613,39.488975524902344,168.39437866210938,12.871333122253418
2015-01-20,24.12568473815918,14.472000122070312,39.61707305908203,168.75357055664062,12.795332908630371
2015-01-21,24.30986976623535,14.862500190734863,39.215694427490234,169.60546875,13.104666709899902
2015-01-22,24.942296981811523,15.515999794006348,40.24904251098633,172.12757873535156,13.441332817077637
2015-01-23,25.07101058959961,15.619500160217285,40.29173278808594,171.18385314941406,13.419333457946777
2015-01-26,25.097633361816406,15.482999801635742,40.14655685424805,171.58470153808594,13.770000457763672
2015-01-27,24.21887969970703,15.337499618530273,36.43165588378906,169.32144165039062,13.732000350952148
2015-01-28,25.588043212890625,15.195500373840332,35.176292419433594,167.1499786376953,13.291333198547363
2015-01-29,26.384693145751953,15.58899974822998,35.876548767089844,168.69505310058594,13.680000305175781
2015-01-30,25.998577117919922,17.726499557495117,34.501625061035156,166.57369995117188,13.573332786560059
2015-02-02,26.324779510498047,18.223499298095703,35.25313186645508,168.63662719726562,14.062666893005371
2015-02-03,26.32921600341797,18.177499771118164,35.52641296386719,171.07528686523438,14.557332992553711
2015-02-04,26.531152725219727,18.237499237060547,35.73137283325195,170.4238739013672,14.569999694824219
2015-02-05,26.720516204833984,18.694499969482422,36.252323150634766,172.14431762695312,14.732666969299316
2015-02-06,26.49550437927246,18.714000701904297,36.2181510925293,171.6682586669922,14.490667343139648
2015-02-09,26.671506881713867,18.527999877929688,36.17546463012695,170.89993286132812,14.498666763305664
2015-02-10,27.183900833129883,18.649999618530273,36.38042449951172,172.7205810546875,14.419333457946777
2015-02-11,27.82106590270996,18.756999969482422,36.192527770996094,172.82073974609375,14.186667442321777
2015-02-12,28.173059463500977,18.85849952697754,36.798866271972656,174.4827880859375,13.525333404541016
2015-02-13,28.311182022094727,19.09149932861328,37.46499252319336,175.2010040283203,13.584667205810547
2015-02-17,28.478269577026367,18.771499633789062,37.48220443725586,175.4766387939453,13.623332977294922
2015-02-18,28.676549911499023,18.668500900268555,37.439186096191406,175.49334716796875,13.630666732788086
2015-02-19,28.616395950317383,18.950000762939453,37.41337585449219,175.36807250976562,14.11400032043457
2015-02-20,28.85031509399414,19.183000564575195,37.72301483154297,176.42031860351562,14.473999977111816
2015-02-23,29.630054473876953,19.006999969482422,37.97243881225586,176.3953399658203,13.822667121887207
2015-02-24,29.44514274597168,18.929500579833984,37.92083740234375,176.89639282226562,13.607333183288574
2015-02-25,28.692136764526367,19.26849937438965,37.834842681884766,176.74606323242188,13.583999633789062
2015-02-26,29.055269241333008,19.239999771118164,37.8950309753418,176.5373077392578,13.812666893005371
2015-02-27,28.618619918823242,19.007999420166016,37.71441650390625,175.93592834472656,13.555999755859375
2015-03-02,28.758970260620117,19.283000946044922,37.7402229309082,177.0467071533203,13.155332565307617
2015-03-03,28.819128036499023,19.230499267578125,37.224159240722656,176.3201141357422,13.303999900817871
2015-03-04,28.63644790649414,19.13599967956543,37.03495407104492,175.5768280029297,13.496000289916992
2015-03-05,28.161922454833984,19.39150047302246,37.07795715332031,175.76890563964844,13.375332832336426
2015-03-06,28.204242706298828,19.004499435424805,36.43290328979492,173.296875,12.925333023071289
2015-03-09,28.324546813964844,18.92799949645996,36.854331970214844,174.0150146484375,12.725333213806152
2015-03-10,27.738628387451172,18.475500106811523,36.149078369140625,171.1922149658203,12.687999725341797
2015-03-11,27.23291778564453,18.318500518798828,36.106075286865234,170.79132080078125,12.916000366210938
2015-03-12,27.725263595581055,18.711999893188477,35.2803955078125,172.96278381347656,12.73799991607666
2015-03-13,27.533672332763672,18.52899932861328,35.59001541137695,171.902099609375,12.578666687011719
2015-03-16,27.836652755737305,18.667499542236328,35.74483108520508,174.19883728027344,13.046667098999023
2015-03-17,28.302270889282227,18.59600067138672,35.8652458190918,173.6809844970703,12.982000350952148
2015-03-18,28.620849609375,18.756999969482422,36.55331802368164,175.76890563964844,13.380666732788086
2015-03-19,28.40475082397461,18.66200065612793,36.37269592285156,174.9672088623047,13.043333053588867
2015-03-20,28.048295974731445,18.92449951171875,36.8801383972168,176.51153564453125,13.20533275604248
2015-03-23,28.340145111083984,18.75550079345703,36.86293411254883,176.1676483154297,13.308667182922363
2015-03-24,28.224294662475586,18.704500198364258,36.897335052490234,175.17774963378906,13.447999954223633
2015-03-25,27.486888885498047,18.54800033569336,35.658836364746094,172.61070251464844,12.953332901000977
2015-03-26,27.678476333618164,18.36750030517578,35.44381332397461,172.19967651367188,12.694000244140625
2015-03-27,27.457923889160156,18.527999877929688,35.23740005493164,172.5939178466797,12.333333015441895
